date,countryCode,hS10Code,censusUOMId1,censusUOMId2,fasConvertedUOMId,fasNonConvertedUOMId,quantity1,quantity2,value,mes_origen,year
199503,CA,0203121000,47,47,70,70,13356.0,0.0,29207.0,3,1995
199503,CA,0203192000,47,47,70,70,255193.0,0.0,791273.0,3,1995
199503,CA,0203292000,47,47,70,70,39769.0,0.0,100821.0,3,1995
199503,CA,0203294000,47,47,70,70,200834.0,0.0,541658.0,3,1995
199504,CA,0203121000,47,47,70,70,117531.0,0.0,191518.0,4,1995
199504,CA,0203192000,47,47,70,70,386430.0,0.0,1235135.0,4,1995
199504,CA,0203229000,47,47,70,70,10785.0,0.0,20294.0,4,1995
199504,CA,0203292000,47,47,70,70,58786.0,0.0,146064.0,4,1995
199504,CA,0203294000,47,47,70,70,101532.0,0.0,300521.0,4,1995
199505,CA,0203121000,47,47,70,70,15671.0,0.0,23178.0,5,1995
199505,CA,0203192000,47,47,70,70,317438.0,0.0,1043693.0,5,1995
199505,CA,0203292000,47,47,70,70,20348.0,0.0,61626.0,5,1995
199505,CA,0203294000,47,47,70,70,178517.0,0.0,415497.0,5,1995
199506,CA,0203121000,47,47,70,70,78623.0,0.0,123956.0,6,1995
199506,CA,0203192000,47,47,70,70,826914.0,0.0,2110038.0,6,1995
199506,CA,0203229000,47,47,70,70,39729.0,0.0,75170.0,6,1995
199506,CA,0203292000,47,47,70,70,36172.0,0.0,111283.0,6,1995
199506,CA,0203294000,47,47,70,70,235225.0,0.0,575409.0,6,1995
199507,CA,0203110000,47,47,70,70,39967.0,0.0,62656.0,7,1995
199507,CA,0203121000,47,47,70,70,77826.0,0.0,139617.0,7,1995
199507,CA,0203192000,47,47,70,70,951603.0,0.0,1585764.0,7,1995
199507,CA,0203229000,47,47,70,70,19068.0,0.0,28571.0,7,1995
199507,CA,0203292000,47,47,70,70,18666.0,0.0,52418.0,7,1995
199507,CA,0203294000,47,47,70,70,150255.0,0.0,349686.0,7,1995
199508,CA,0203121000,47,47,70,70,80974.0,0.0,165144.0,8,1995
199508,CA,0203192000,47,47,70,70,1171955.0,0.0,1782991.0,8,1995
199508,CA,0203292000,47,47,70,70,24332.0,0.0,72930.0,8,1995
199508,CA,0203294000,47,47,70,70,148042.0,0.0,373958.0,8,1995
199509,CA,0203121000,47,47,70,70,121481.0,0.0,247280.0,9,1995
199509,CA,0203192000,47,47,70,70,893020.0,0.0,1671201.0,9,1995
199509,CA,0203229000,47,47,70,70,17435.0,0.0,28339.0,9,1995
199509,CA,0203292000,47,47,70,70,19051.0,0.0,55666.0,9,1995
199509,CA,0203294000,47,47,70,70,142221.0,0.0,384390.0,9,1995
199510,CA,0203121000,47,47,70,70,30869.0,0.0,98070.0,10,1995
